Time, Projected Occupancy,  num_parked_ios, num_parked_android, num_parked
02/24 06:49 AM,19 %,3,0,3
02/24 08:02 AM,25 %,4,0,4
02/24 08:16 AM,31 %,5,0,5
02/24 08:21 AM,38 %,6,0,6
02/24 08:36 AM,44 %,7,0,7
02/24 09:00 AM,50 %,8,0,8
02/24 09:10 AM,56 %,9,0,9
02/24 09:13 AM,56 %,9,0,9
02/24 09:26 AM,63 %,10,0,10
02/24 09:27 AM,69 %,11,0,11
02/24 09:27 AM,75 %,12,0,12
02/24 09:29 AM,69 %,11,0,11
02/24 09:30 AM,63 %,10,0,10
02/24 09:30 AM,63 %,10,0,10
02/24 10:07 AM,69 %,11,0,11
02/24 10:11 AM,63 %,10,0,10
02/24 10:11 AM,69 %,11,0,11
02/24 10:11 AM,69 %,11,0,11
02/24 10:14 AM,69 %,11,0,11
02/24 10:16 AM,56 %,9,0,9
02/24 10:27 AM,50 %,8,0,8
02/24 10:35 AM,44 %,7,0,7
02/24 10:57 AM,38 %,6,0,6
02/24 11:28 AM,44 %,7,0,7
02/24 11:36 AM,38 %,6,0,6
02/24 01:09 PM,44 %,7,0,7
02/24 01:11 PM,38 %,6,0,6
02/24 01:21 PM,44 %,7,0,7
02/24 01:24 PM,44 %,7,0,7
02/24 01:30 PM,50 %,8,0,8
02/24 02:34 PM,44 %,7,0,7
02/24 03:24 PM,38 %,6,0,6
02/24 03:49 PM,0 %,0,0,0
02/24 05:06 PM,25 %,4,0,4
02/25 04:02 PM,6 %,1,0,1
02/25 06:21 PM,0 %,0,0,0
02/26 11:29 AM,6 %,1,0,1
02/26 11:31 AM,0 %,0,0,0
02/26 03:29 PM,6 %,1,0,1
02/26 04:52 PM,0 %,0,0,0
02/26 08:37 PM,6 %,1,0,1
02/26 08:40 PM,0 %,0,0,0
02/27 04:51 AM,6 %,1,0,1
02/27 06:45 AM,13 %,2,0,2
02/27 06:53 AM,19 %,3,0,3
02/27 08:10 AM,19 %,3,0,3
02/27 08:13 AM,25 %,4,0,4
02/27 08:20 AM,31 %,5,0,5
02/27 08:27 AM,38 %,6,0,6
02/27 08:33 AM,44 %,7,0,7
02/27 08:37 AM,50 %,8,0,8
02/27 09:14 AM,56 %,9,0,9
02/27 09:15 AM,63 %,10,0,10
02/27 09:17 AM,56 %,9,0,9
02/27 09:20 AM,50 %,8,0,8
02/27 09:42 AM,44 %,7,0,7
02/27 09:48 AM,50 %,8,0,8
02/27 09:49 AM,56 %,9,0,9
02/27 10:21 AM,63 %,10,0,10
02/27 10:23 AM,56 %,9,0,9
02/27 10:23 AM,50 %,8,0,8
02/27 11:21 AM,63 %,10,0,10
02/27 11:25 AM,56 %,9,0,9
02/27 11:28 AM,50 %,8,0,8
02/27 11:43 AM,44 %,7,0,7
02/27 12:19 PM,38 %,6,0,6
02/27 12:29 PM,44 %,7,0,7
02/27 01:06 PM,44 %,7,0,7
02/27 01:16 PM,50 %,8,0,8
02/27 01:17 PM,56 %,9,0,9
02/27 01:19 PM,44 %,7,0,7
02/27 01:21 PM,38 %,6,0,6
02/27 02:09 PM,50 %,8,0,8
02/27 02:11 PM,44 %,7,0,7
